,16S rRNA Count,Biotic Relationships,Body Site,Body Subsite,Cell Arrangement,Cell Shape,Class,Diseases,Domain,Ecosystem,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,Energy Source,Family,GOLD ID,GenBank Project ID,Gene Count,Genome Name,Genome Size,Genus,IMG Pathwawy Count,IMG Pathway %,IMG Submission ID,Isolation,KEGG %,KEGG Count,KEGG Organism ID,MetaCyc %,MetaCyc Count,Metabolism,Motility,NCBI Taxon ID,Name,Order,Oxygen Requirement,Paralogs %,Paralogs Count,Phenotype,Phylum,Proposal Name,RefSeq Project ID,Salinity,Sequencing Center,Species,Specific Ecosystem,Sporulation,Status,Strain,Taxon Object ID,Taxonomy ID,Temperature Range
,9,Free living,,,,Rod-shaped,Gammaproteobacteria,Furunculosis,bacteria,,,,,Heterotroph,Aeromonadaceae,Gc00536,16723,4608,Aeromonas salmonicida salmonicida A449,5040536,Aeromonas,351,7.62,,Free living,29.1,1341,asa,17.01,784,,Motile,382245,Aeromonas salmonicida subsp. salmonicida A449,Aeromonadales,Facultative,15.34,707,Pathogen,Proteobacteria,zzz,58631,,NRC-IMB,salmonicida,,,Finished,subsp. salmonicida A449,641522605,641522605,Psychrophile
,1,Free living,,,,Coccus-shaped,Thermoprotei,None,archaea,,,,,Lithotroph,Sulfolobaceae,Gc00061,246,2982,"Sulfolobus tokodaii 7, JCM 10545",2694756,Sulfolobus,236,7.91,,Free living,21.19,632,sto,14.59,435,Sulfur metabolizing,Nonmotile,273063,Sulfolobus tokodaii str. 7,Sulfolobales,Aerobe,17.94,535,Acidophile,Crenarchaeota,zzz,57807,,NITE,tokodaii,,Nonsporulating,Finished,str. 7,638154519,638154519,Hyperthermophile
,1,Free living,,,Chains,Rod-shaped,Alphaproteobacteria,None,bacteria,,,,,"Heterotroph, Phototroph",Rhodobacteraceae,Gc00354,12733,4339,Jannaschia sp. CCS1,4404049,Jannaschia,362,8.34,,Free living,30.86,1339,jan,20.33,882,,Nonmotile,290400,Jannaschia sp. CCS1,Rhodobacterales,Obligate aerobe,9.77,424,,Proteobacteria,Roseobacter Clade Strains,58147,,DOE Joint Genome Institute,sp.,,Nonsporulating,Finished,CCS1,637000137,637000137,Mesophile
,14,Free living,,,"Pairs, Singles",Rod-shaped,Clostridia,None,bacteria,,,,,Chemoorganotroph,Clostridiaceae,Gc00585,12637,5290,Clostridium beijerinckii NCIMB 8052,6000632,Clostridium,414,7.83,,Free living,26.24,1388,cbe,14.42,763,,Motile,290402,Clostridium beijerinckii NCIMB 8052,Clostridiales,Anaerobe,28.56,1511,Non-Pathogen,Firmicutes,Clostridium beijerinckii NCIMB 8052 Sequencing,58137,,"DOE Joint Genome Institute, Univ of Illinois",beijerinckii,,Sporulating,Finished,NCIMB 8052,640753016,640753016,Mesophile
,3,Free living,,,Singles,Coccus-shaped,Methanococci,None,archaea,,,,,Lithotroph,Methanococcaceae,Gc00678,19639,1874,Methanococcus maripaludis C6,1744193,Methanococcus,109,5.82,,Free living,33.14,621,mmx,19.96,374,"Methanogen, Hydrogenotrophic, Nitrogen fixation",Motile,444158,Methanococcus maripaludis C6,Methanococcales,Obligate anaerobe,11.53,216,Non-Pathogen,Euryarchaeota,5 mesophilic methanococci Proposal # 0179-051115,58947,,DOE Joint Genome Institute,maripaludis,,Nonsporulating,Finished,C6,641228496,641228496,Mesophile
,1,Free living,,,"Clusters, Singles, Filaments",Rod-shaped,Aquificae,None,bacteria,,,,,Chemolithoautotroph,Aquificaceae,Gc01206,37275,1651,"Thermocrinis albus HI 11/12, DSM 14484",1500577,Thermocrinis,119,7.21,,Free living,40.82,674,tal,27.07,447,,Motile,638303,Thermocrinis albus DSM 14484,Aquificales,Microaerophilic,7.39,122,Pink-colored,Aquificae,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),46231,,"DOE Joint Genome Institute, DSMZ",albus,,Nonsporulating,Finished,DSM 14484,646564582,646564582,Hyperthermophile
,5,Free living,Plant-root,,"Singles, Pairs",Rod-shaped,Alphaproteobacteria,None,bacteria,,,,,Methylotroph,Methylobacteriaceae,Gc00771,19559,5538,Methylobacterium populi BJ001,5848997,Methylobacterium,151,2.73,,Free living,23.75,1315,mpo,14.45,800,,Motile,441620,Methylobacterium populi BJ001,Rhizobiales,Aerobe,19.32,1070,,Proteobacteria,LGT in Methylobacteria Proposal # 0165-051130,58937,,DOE Joint Genome Institute,populi,,Nonsporulating,Finished,BJ001,642555139,642555139,Mesophile
,1,Free living,,,,Rod-shaped,Thermoprotei,None,archaea,,,,,Autotroph,Thermoproteaceae,Gc00753,15645,2053,Thermoproteus neutrophilus V24Sta,1769823,Thermoproteus,165,8.04,,Free living,27.96,574,tne,17.19,353,,Nonmotile,444157,Thermoproteus neutrophilus V24Sta,Thermoproteales,Anaerobe,9.79,201,,Crenarchaeota,Pyrobaculum,58421,,DOE Joint Genome Institute,neutrophilus,,Nonsporulating,Finished,V24Sta,641522657,641522657,Hyperthermophile
,11,Free living,,,Singles,Rod-shaped,Gammaproteobacteria,None,bacteria,,,,,Heterotroph,Vibrionaceae,Gc01137,40507,4676,Vibrio sp. Ex25,5089025,Vibrio,346,7.4,,Free living,29.66,1387,vex,16.75,783,,Motile,150340,Vibrio sp. Ex25,Vibrionales,Facultative,13.32,623,Bioluminescent,Proteobacteria,zzz,41601,,"LANL, Los Alamos National Lab",sp.,,Nonsporulating,Finished,Ex25,646311966,646311966,Mesophile
,2,Free living,,,,Oval-shaped,Cyanophyceae,None,bacteria,,,,,Photosynthetic,Synechococcaceae,Gc00151,220,2334,Prochlorococcus marinus MIT 9313,2410873,Prochlorococcus,258,11.05,,Free living,33.12,773,pmt,21.51,502,,Nonmotile,74547,Prochlorococcus marinus str. MIT 9313,Synechococcales,,8.4,196,Low light adapted,Cyanobacteria,Prochlorococcus marinus MIT 9313,57773,,DOE Joint Genome Institute,marinus,,,Finished,str. MIT 9313,637000211,637000211,Mesophile
,1,Free living,,,Singles,Oval-shaped,Cyanophyceae,None,bacteria,,,,,Photosynthetic,Synechococcaceae,Gc00317,13910,1860,Prochlorococcus marinus MIT 9312,1709204,Prochlorococcus,241,12.96,,Free living,37.42,696,pmi,24.57,457,,Nonmotile,74546,Prochlorococcus marinus str. MIT 9312,Synechococcales,,6.77,126,Small,Cyanobacteria,Prochlorococcus marinus MIT 9312,58357,,"DOE Joint Genome Institute, MIT",marinus,,,Finished,str. MIT 9312,637000210,637000210,Mesophile
,2,Free living,,,,Rod-shaped,Alphaproteobacteria,None,bacteria,,,,,Heterotroph,Sphingomonadaceae,Gc00571,17343,5463,Sphingomonas wittichii RW1,5915246,Sphingomonas,394,7.21,,Free living,27.22,1487,swi,19.92,1088,,Motile,392499,Sphingomonas wittichii RW1,Sphingomonadales,Aerobe,25.13,1373,,Proteobacteria,zzz,58691,,DOE Joint Genome Institute,wittichii,,Nonsporulating,Finished,RW1,640427144,640427144,Mesophile
,9,Free living,,,"Chains, Singles, Pairs",Rod-shaped,Clostridia,Botulism,bacteria,,,,,Chemoorganotroph,Clostridiaceae,Gc00740,28505,3961,Clostridium botulinum BoNT/B1 Okra,4107013,Clostridium,154,3.89,,Free living,22.77,902,cbb,12.83,508,,Motile,498213,Clostridium botulinum B1 str. Okra,Clostridiales,Anaerobe,19.62,777,Pathogen,Firmicutes,zzz,59147,,"DOE Joint Genome Institute, Los Alamos National Lab, Los Alamos National Laboratory",botulinum,,Sporulating,Finished,B1 str. Okra,641522619,641522619,Mesophile
,9,Free living,,,"Chains, Pairs, Singles",Rod-shaped,Clostridia,Botulism,bacteria,,,,,Chemoorganotroph,Clostridiaceae,Gc00741,28507,4092,Clostridium botulinum BoNT/A3 Loch Maree,4259691,Clostridium,150,3.67,,Free living,22.31,913,cbl,12.22,500,,Motile,498214,Clostridium botulinum A3 str. Loch Maree,Clostridiales,Anaerobe,19.11,782,Pathogen,Firmicutes,zzz,59149,,"DOE Joint Genome Institute, Los Alamos National Lab, Los Alamos National Laboratory",botulinum,,Sporulating,Finished,A3 str. Loch Maree,641522617,641522617,Mesophile
,1,Free living,Skin,,Singles,Rod-shaped,Actinobacteria,Leprosy,bacteria,,,,,Chemoorganotroph,Mycobacteriaceae,Gc00941,31271,1654,Mycobacterium leprae Br4923,3268071,Mycobacterium,227,13.72,,Free living,36.46,603,mlb,26.36,436,,Nonmotile,561304,Mycobacterium leprae Br4923,Actinomycetales,Aerobe,4.84,80,Pathogen,Actinobacteria,zzz,59293,,Institut Pasteur,leprae,,Nonsporulating,Finished,Br4923,643348566,643348566,Mesophile
,2,Free living,,,Singles,Rod-shaped,Deltaproteobacteria,None,bacteria,,,,,Chemolithotroph,Geobacteraceae,Gc00945,16263,3894,Geobacter sp. FRC-32,4304501,Geobacter,314,8.06,,Free living,28.02,1091,geo,16.92,659,"Iron reducer, Uranium reducer",Motile,316067,Geobacter sp. FRC-32,Desulfuromonadales,Anaerobe,17.57,684,,Proteobacteria,Geobacter sp. Strain FRC-32,58543,,DOE Joint Genome Institute,sp.,,Nonsporulating,Finished,FRC-32,643348554,643348554,Mesophile
,2,Free living,,,Singles,Rod-shaped,Actinobacteria,None,bacteria,,,,,Chemoorganotroph,Mycobacteriaceae,Gc00516,16079,5855,Mycobacterium sp. JLS,6048425,Mycobacterium,337,5.76,,Free living,23.36,1368,mjl,17.63,1032,PAH-degrading,Nonmotile,164757,Mycobacterium sp. JLS,Actinomycetales,Aerobe,25.62,1500,Non-Pathogen,Actinobacteria,"Mycobacteria, 5 strains",58489,,DOE Joint Genome Institute,sp.,,Nonsporulating,Finished,JLS,640069320,640069320,Mesophile
,2,Free living,,,Singles,Rod-shaped,Actinobacteria,None,bacteria,,,,,Chemoorganotroph,Mycobacteriaceae,Gc00392,15762,5704,Mycobacterium sp. MCS,5920523,Mycobacterium,332,5.82,,Free living,23.09,1317,mmc,17.41,993,PAH-degrading,Nonmotile,164756,Mycobacterium sp. MCS,Actinomycetales,Aerobe,22.41,1278,Non-Pathogen,Actinobacteria,"Mycobacteria, 5 strains",58465,,DOE Joint Genome Institute,sp.,,Nonsporulating,Finished,MCS,637000171,637000171,Mesophile
,4,Free living,,,"Chains, Singles",Curved-shaped,Methanomicrobia,None,archaea,,,,,Lithotroph,Methanospirillaceae,Gc00350,13015,3307,Methanospirillum hungatei JF-1,3544738,Methanospirillum,229,6.92,,Free living,24.58,813,mhu,13.85,458,Methanogen,Motile,323259,Methanospirillum hungatei JF-1,Methanomicrobiales,Anaerobe,23.47,776,,Euryarchaeota,zzz,58181,,DOE Joint Genome Institute,hungatei,,Nonsporulating,Finished,JF-1,637000164,637000164,Mesophile
,1,Free living,,,"Singles, Pairs",Rod-shaped,Clostridia,None,bacteria,,,,,Chemoorganotroph,Clostridiaceae,Gi08307,37295,4685,"Clostridium cellulovorans 743B, ATCC 35296",5123037,Clostridium,138,2.95,,Free living,20.43,957,ccb,11.89,557,Cellulose degrader,Nonmotile,573061,Clostridium cellulovorans 743B,Clostridiales,Anaerobe,18.23,854,,Firmicutes,zzz,52819,,Mie Univ,cellulovorans,,Sporulating,Draft,743B,648276630,648276630,Mesophile
,2,Free living,,,,Coccus-shaped,Methanococci,None,archaea,,,,,"Autotroph, Lithotroph",Methanocaldococcaceae,Gc01344,32611,1513,Methanocaldococcus infernus ME,1328194,Methanocaldococcus,136,8.99,,Free living,35.36,535,mif,22.01,333,Methanogen,Motile,573063,Methanocaldococcus infernus ME,Methanococcales,Anaerobe,8.06,122,,Euryarchaeota,"CSP_787660, Methanoarchaea",48803,,DOE Joint Genome Institute,infernus,,Nonsporulating,Finished,ME,646564547,646564547,Thermophile
,6,Free living,,,Singles,Rod-shaped,Gammaproteobacteria,"Pneumonia, Nosocomial infection",bacteria,,,,,"Chemoheterotroph, Heterotroph",Moraxellaceae,Gc00810,17827,3841,Acinetobacter baumannii ACICU,3996692,Acinetobacter,275,7.16,,Free living,27.78,1067,abc,19.06,732,,Nonmotile,405416,Acinetobacter baumannii ACICU,Pseudomonadales,Aerobe,16.04,616,Pathogen,Proteobacteria,zzz,58765,,CNR - National Research Council,baumannii,,Nonsporulating,Finished,ACICU,642555102,642555102,Mesophile
,2,Free living,,,,Coccus-shaped,Methanococci,None,archaea,,,,,"Lithotroph, Autotroph",Methanocaldococcaceae,Gc01098,32615,1663,Methanocaldococcus fervens AG86,1507251,Methanocaldococcus,91,5.47,,Free living,34.64,576,mfe,21.23,353,Methanogen,Motile,573064,Methanocaldococcus fervens AG86,Methanococcales,Anaerobe,6.61,110,Piezophile,Euryarchaeota,"CSP_787660, Methanoarchaea",59347,,DOE Joint Genome Institute,fervens,,Nonsporulating,Finished,AG86,644736385,644736385,Thermophile
,2,Symbiotic,,,Filaments,Filament-shaped,Actinobacteria,None,bacteria,,,,,Chemoorganotroph,Frankiaceae,Gc00345,13963,4621,Frankia sp. CcI3,5433628,Frankia,331,7.16,,Symbiotic,22.98,1062,fra,16.73,773,Nitrogen fixation,Nonmotile,106370,Frankia sp. CcI3,Actinomycetales,Aerobe,18.42,851,Non-Pathogen,Actinobacteria,Frankia sp. strain CcI3 Sequencing,58397,,"DOE Joint Genome Institute, LBNL, Univ of Connecticut, Univ of New Hampshire",sp.,,Sporulating,Finished,CcI3,637000116,637000116,Mesophile
,2,Free living,,,"Pairs, Singles",Coccus-shaped,Cyanophyceae,None,bacteria,,,,,"Photoautotroph, Photosynthetic",Synechococcaceae,Gc00319,10645,2719,Synechococcus elongatus PCC 7942,2742269,Synechococcus,281,10.33,,Free living,33.39,908,syf,20.89,568,Carbon fixation,Motile,1140,Synechococcus elongatus PCC 7942,Synechococcales,Facultative,9.12,248,,Cyanobacteria,Synechococcus elongatus PCC7942,58045,,"DOE Joint Genome Institute, Texas A&M Univ",elongatus,,,Finished,PCC 7942,637000308,637000308,Mesophile
,7,Free living,,,"Singles, Pairs",Rod-shaped,Gammaproteobacteria,"Food poisoning, Gastroenteritis, Salmonellosis",bacteria,,,,,Chemoorganotroph,Enterobacteriaceae,Gc00850,20063,4720,Salmonella enterica Agona SL483,4836638,Salmonella,506,10.72,,Free living,31.19,1472,sea,19.49,920,,Motile,454166,Salmonella enterica subsp. enterica serovar Agona str. SL483,Enterobacteriales,Facultative,16.76,791,Nontyphoidal,Proteobacteria,zzz,59431,,J. Craig Venter Institute,enterica,,Nonsporulating,Finished,subsp. enterica serovar Agona str. SL483,642555154,642555154,Mesophile
,1,Free living,,,Singles,Coccus-shaped,Thermoprotei,None,archaea,,,,,Heterotroph,Sulfolobaceae,Gc00992,18871,2900,Sulfolobus islandicus M.14.25,2608832,Sulfolobus,221,7.62,,Free living,23.38,678,sia,15.28,443,,Nonmotile,427317,Sulfolobus islandicus M.14.25,Sulfolobales,Aerobe,17.41,505,Acidophile,Crenarchaeota,zzz,58849,,DOE Joint Genome Institute,islandicus,,Nonsporulating,Finished,M.14.25,643692045,643692045,Hyperthermophile
,1,Free living,,,,Coccus-shaped,Thermococci,None,archaea,,,,,Heterotroph,Thermococcaceae,Gc00248,13213,2428,Thermococcus kodakarensis KOD1,2088737,Thermococcus,173,7.13,,Free living,23.6,573,tko,14,340,,Motile,69014,Thermococcus kodakarensis KOD1,Thermococcales,Anaerobe,12.81,311,,Euryarchaeota,zzz,58225,,"Kwansei Gakuin Univ, Kyoto Univ",kodakaraensis,,Nonsporulating,Finished,KOD1,638154520,638154520,Hyperthermophile
,1,Free living,,,Singles,Coccus-shaped,Thermoprotei,None,archaea,,,,,Heterotroph,Sulfolobaceae,Gc00996,18873,2956,Sulfolobus islandicus M.16.27,2692402,Sulfolobus,225,7.61,,Free living,23.07,682,sim,15.26,451,,Nonmotile,427318,Sulfolobus islandicus M.16.27,Sulfolobales,Aerobe,17.35,513,Acidophile,Crenarchaeota,zzz,58851,,DOE Joint Genome Institute,islandicus,,Nonsporulating,Finished,M.16.27,643692046,643692046,Hyperthermophile
,2,Free living,,,,Coccus-shaped,Cyanophyceae,None,bacteria,,,,,"Photosynthetic, Photoautotroph",Merismopediaceae,Gc00003,60,3628,Synechocystis sp. PCC 6803,3947019,Synechocystis,297,8.19,,Free living,27.76,1007,syn,16.92,614,,Motile,1148,Synechocystis sp. PCC 6803,Synechococcales,Facultative,17.92,650,,Cyanobacteria,zzz,57659,,Kazusa DNA Research Institute,sp.,,,Finished,PCC 6803,637000315,637000315,Mesophile
,2,Free living,,,Singles,Coccus-shaped,Cyanophyceae,None,bacteria,,,,,"Photoautotroph, Photosynthetic",Synechococcaceae,Gc00416,12530,2951,Prochlorococcus sp. CC9311,2606748,Synechococcus,261,8.84,,Free living,29.24,863,syg,18.74,553,,Motile,64471,Synechococcus sp. CC9311,Synechococcales,,8.64,255,Non-Pathogen,Cyanobacteria,zzz,58123,,"J. Craig Venter Institute, UCSD",sp.,,,Finished,CC9311,637000309,637000309,Mesophile
,10,Free living,,,"Pairs, Singles",Rod-shaped,Gammaproteobacteria,None,bacteria,,,,,Heterotroph,Shewanellaceae,Gc00513,13386,4741,Shewanella baltica OS155,5342896,Shewanella,350,7.38,,Free living,24.97,1184,sbl,16.07,762,,Motile,325240,Shewanella baltica OS155,Alteromonadales,Facultative,18.6,882,,Proteobacteria,zzz,58259,,DOE Joint Genome Institute,baltica,,Nonsporulating,Finished,OS155,640069330,640069330,Mesophile
,4,Free living,,,"Singles, Filaments",Filament-shaped,Cyanophyceae,None,bacteria,,,,,Heterotroph,Nostocaceae,Gc00299,10642,5772,Anabaena variabilis ATCC 29413,7105752,Anabaena,341,5.91,,Free living,23.16,1337,ava,14.1,814,"Nitrogen fixation, Carbon dioxide fixation, Hydrogen production",Motile,240292,Anabaena variabilis ATCC 29413,Nostocales,Aerobe,25.49,1471,,Cyanobacteria,Anabaena variabilis ATCC 29413,58043,,"DOE Joint Genome Institute, Univ of Missouri",variabilis,,,Finished,ATCC 29413,646564504,646564504,Mesophile
,4,Free living,,,,Rod-shaped,Epsilonproteobacteria,None,bacteria,,,,,Chemoautotroph,Nautiliaceae,Gc00958,32573,1788,Nautilia profundicola Am-H,1676444,Nautilia,126,7.05,,Free living,38.59,690,nam,24.44,437,"Sulfur reducer, Hydrogen oxidizer",Motile,598659,Nautilia profundicola AmH,Nautiliales,Obligate anaerobe,5.48,98,,Proteobacteria,zzz,59345,,"J. Craig Venter Institute, Univ of Delaware",profundicola,,,Finished,AmH,643692029,643692029,Thermophile
,1,Free living,,,Singles,Rod-shaped,Actinobacteria,Tuberculosis,bacteria,,,,,Chemoorganotroph,Mycobacteriaceae,Gc00957,31211,3996,Mycobacterium bovis BCG Tokyo 172,4371711,Mycobacterium,252,6.31,,Free living,27.9,1115,mbt,19.29,771,,Nonmotile,561275,Mycobacterium bovis BCG str. Tokyo 172,Actinomycetales,Aerobe,19.09,763,Pathogen,Actinobacteria,zzz,59281,,"Agencourt Bioscience, BCG Laboratory",bovis,,Nonsporulating,Finished,BCG str. Tokyo 172,643692028,643692028,Mesophile
,1,Free living,Airways,,Singles,Rod-shaped,Actinobacteria,Tuberculosis,bacteria,,,,,Chemoorganotroph,Mycobacteriaceae,Gc00015,224,4062,Mycobacterium tuberculosis H37Rv (lab strain),4411532,Mycobacterium,306,7.53,,Free living,27.06,1099,mtu,18.71,760,,Nonmotile,83332,Mycobacterium tuberculosis H37Rv,Actinomycetales,Aerobe,19.35,786,Pathogen,Actinobacteria,zzz,57777,,Sanger Institute,tuberculosis,,Nonsporulating,Finished,H37Rv,637000173,637000173,Mesophile
,1,Free living,,,,Rod-shaped,Halobacteria,None,archaea,,,,,Chemoorganotroph,Halobacteriaceae,Gc00039,217,2728,Halobacterium sp. NRC-1,2571010,Halobacterium,238,8.72,,Free living,25.81,704,hal,16.42,448,,Motile,64091,Halobacterium sp. NRC-1,Halobacteriales,Aerobe,22.58,616,,Euryarchaeota,zzz,57769,Halophile,"Univ of Massachusetts, Univ of Washington- Seattle",sp.,,Nonsporulating,Finished,NRC-1,638154504,638154504,Mesophile
,4,Free living,,,Pairs,Rod-shaped,Gammaproteobacteria,None,bacteria,,,,,Heterotroph,Moraxellaceae,Gc00278,9633,2215,Psychrobacter arcticus 273-4,2650701,Psychrobacter,275,12.42,,Free living,34.49,764,par,24.97,553,,Nonmotile,259536,Psychrobacter arcticus 273-4,Pseudomonadales,Aerobe,6.95,154,Radiation resistant,Proteobacteria,Psychrobacter sp. 273-4,58021,,DOE Joint Genome Institute,arcticus,,,Finished,273-4,637000226,637000226,Psychrophile
,4,Free living,,,,Rod-shaped,Betaproteobacteria,None,bacteria,,,,,Diazotroph,Rhodocyclaceae,Gc00454,13217,4073,Azoarcus sp. BH72,4376040,Azoarcus,352,8.64,,Free living,34.05,1387,azo,20.7,843,Nitrogen fixation,Motile,62928,Azoarcus sp. BH72,Rhodocyclales,Facultative,13.97,569,Non-Pathogen,Proteobacteria,zzz,61603,,"Bielefeld Univ, MWG-Biotech",sp.,,,Finished,BH72,639633007,639633007,Mesophile
,6,Free living,Blood,,Singles,Rod-shaped,Gammaproteobacteria,Nosocomial infection,bacteria,,,,,"Heterotroph, Chemoheterotroph",Moraxellaceae,Gc00894,30993,3542,Acinetobacter baumannii AB307-0294,3760981,Acinetobacter,176,4.97,,Free living,29.59,1048,abb,20.33,720,,Nonmotile,557600,Acinetobacter baumannii AB307-0294,Pseudomonadales,Aerobe,14.6,517,"MDR (Multi-drug resistant), MDR (Multi-drug resistant), MDR (Multi-drug resistant), MDR (Multi-drug resistant), Pathogen",Proteobacteria,zzz,59271,,COE SUNY-Buffalo,baumannii,,Nonsporulating,Finished,AB307-0294,643348503,643348503,Mesophile
,9,Free living,,,"Singles, Pairs",Rod-shaped,Gammaproteobacteria,None,bacteria,,,,,Heterotroph,Shewanellaceae,Gc00459,13905,4537,Shewanella sp. ANA-3,5251146,Shewanella,348,7.67,,Free living,25.17,1142,shn,16.46,747,,Motile,94122,Shewanella sp. ANA-3,Alteromonadales,Anaerobe,10.89,494,,Proteobacteria,zzz,58347,,DOE Joint Genome Institute,sp.,,Nonsporulating,Finished,ANA-3,639633058,639633058,Mesophile
,2,Free living,,,,Rod-shaped,Gammaproteobacteria,None,bacteria,,,,,Chemolithoautotroph,Halothiobacillaceae,Gc01131,31049,2465,Halothiobacillus neapolitanus c2,2582886,Halothiobacillus,179,7.26,,Free living,33.55,827,hna,21.05,519,"Sulfur oxidizer, Carbon fixation",Motile,555778,Halothiobacillus neapolitanus c2,Chromatiales,Aerobe,7.14,176,,Proteobacteria,"CSP_788277, Halothiobacillus neapolitanus and Thiomonas intermedia",41317,,DOE Joint Genome Institute,neapolitanus,,,Finished,c2,646311935,646311935,Mesophile
,2,Free living,,,"Filaments, Pairs, Singles",Rod-shaped,Aquificae,None,bacteria,,,,,Heterotroph,Hydrogenothermaceae,Gc00937,12529,1768,Sulfurihydrogenibium azorense Az-Fu1,1640876,Sulfurihydrogenibium,136,7.69,,Free living,37.27,659,saf,24.38,431,Sulfur oxidizer,Motile,204536,Sulfurihydrogenibium azorense Az-Fu1,Aquificales,Facultative,9.22,163,,Aquificae,zzz,58121,,"J. Craig Venter Institute, Portland State Univ",azorense,,Nonsporulating,Finished,Az-Fu1,643692050,643692050,Thermophile
,8,Free living,,,Singles,Rod-shaped,Gammaproteobacteria,Vibriosis,bacteria,,,,,Heterotroph,Vibrionaceae,Gc00912,32815,4572,Vibrio splendidus LGP32,4974821,Vibrio,230,5.03,,Free living,28.46,1301,vsp,16.43,751,,Motile,575788,Vibrio splendidus LGP32,Vibrionales,Facultative,13.41,613,"Facultative intracellular, Pathogen",Proteobacteria,zzz,59353,,Institut Pasteur,splendidus,,Nonsporulating,Finished,LGP32,643348587,643348587,Mesophile
,4,Symbiotic,"Blood, Oral",Pharyngeal mucosa,,Rod-shaped,Actinobacteria,"Pharyngitis, Sepsis, Tonsillitis, Osteomyelitis",bacteria,,,,,Chemoorganotroph,Actinomycetaceae,Gc01291,37925,1885,"Arcanobacterium haemolyticum CCM, DSM 20595",1986154,Arcanobacterium,101,5.36,,Symbiotic,27.9,526,ahe,16.6,313,,Nonmotile,644284,Arcanobacterium haemolyticum DSM 20595,Actinomycetales,Anaerobe,7.53,142,,Actinobacteria,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),49489,,"DOE Joint Genome Institute, DSMZ",haemolyticum,,Nonsporulating,Finished,DSM 20595,646564505,646564505,Mesophile
,2,Free living,,,,Coccus-shaped,Methanococci,None,archaea,,,,,Lithotroph,Methanocaldococcaceae,Gc01212,37943,1893,Methanocaldococcus sp. FS406-22,1773136,Methanocaldococcus,129,6.81,,Free living,29.32,555,mfs,18.96,359,"Nitrogen fixation, Methanogen",Motile,644281,Methanocaldococcus sp. FS406-22,Methanococcales,,11.41,216,Piezophile,Euryarchaeota,"CSP_787660, Methanoarchaea",42499,,DOE Joint Genome Institute,sp.,,Nonsporulating,Finished,FS406-22,646564548,646564548,Thermophile
,1,Free living,,,,Oval-shaped,Cyanophyceae,None,bacteria,,,,,Photosynthetic,Synechococcaceae,Gc00149,419,1933,Prochlorococcus marinus marinus CCMP1375,1751080,Prochlorococcus,248,12.83,,Free living,36.32,702,pma,24.11,466,,Nonmotile,167539,Prochlorococcus marinus subsp. marinus str. CCMP1375,Synechococcales,,7.19,139,Very low light adapted,Cyanobacteria,zzz,57995,,Genoscope,marinus,,,Finished,subsp. marinus str. CCMP1375,637000213,637000213,Mesophile
,1,Free living,,,"Singles, Chains",Pleomorphic-shaped,Betaproteobacteria,None,bacteria,,,,,"Autotroph, Chemolithotroph",Nitrosomonadaceae,Gc00424,13913,2695,Nitrosomonas eutropha C91,2781824,Nitrosomonas,284,10.54,,Free living,30.95,834,net,20.3,547,"Ammonia-oxidizer, Nitrifying",Motile,335283,Nitrosomonas eutropha C91,Nitrosomonadales,Aerobe,16.66,449,Carbon sequestration,Proteobacteria,zzz,58363,,DOE Joint Genome Institute,eutropha,,,Finished,C71,637000196,637000196,Mesophile
,1,Symbiotic,Gastrointestinal tract,Intestinal tract,,Spiral-shaped,Spirochaetes,,bacteria,,,,,Chemoorganotroph,Brachyspiraceae,Gc01323,48097,2335,Brachyspira pilosicoli 95/1000,2586443,Brachyspira,111,4.75,,Symbiotic,28.69,670,bpo,16.66,389,,,759914,Brachyspira pilosicoli 95/1000,Spirochaetales,Anaerobe,12.29,287,,Spirochaetes,zzz,50609,,"Centre for Comparative Genomics, Murdoch University",pilosicoli,,,Finished,95/1000,648028009,648028009,Mesophile
,1,Free living,,,,Rod-shaped,Alphaproteobacteria,None,bacteria,,,,,Chemoheterotroph,Parvularculaceae,Gc01429,13509,2733,Parvularcula bermudensis HTCC2503,2902643,Parvularcula,227,8.31,,Free living,23.82,651,pbr,15.81,432,,Motile,314260,Parvularcula bermudensis HTCC2503,Parvularculales,Aerobe,7.14,195,,Proteobacteria,zzz,51641,,"J. Craig Venter Institute, Oregon State Univ",bermudensis,,Nonsporulating,Finished,HTCC2503,648028050,648028050,Mesophile
,4,Free living,,,Chains,Rod-shaped,Alphaproteobacteria,None,bacteria,,,,,Photosynthetic,Rhodobacteraceae,Gc00515,15754,4268,Rhodobacter sphaeroides ATCC 17029,4489380,Rhodobacter,364,8.53,,Free living,34.09,1455,rsh,20.29,866,,Motile,349101,Rhodobacter sphaeroides ATCC 17029,Rhodobacterales,Facultative,14.5,619,Non-Pathogen,Proteobacteria,zzz,58449,,DOE Joint Genome Institute,sphaeroides,,,Finished,ATCC 17029,640069328,640069328,Mesophile
